アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均ピッチ,最高ピッチ,平均ペース,最高ペース,総上昇量,総下降量,平均歩幅,平均上下動比,平均上下動,平均接地時間,勾配調整後のペース（GAP）平均,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,Body Battery消費量,減圧,ベストラップタイム,ラップ数,平均呼吸数,最小呼吸数,最大呼吸数,ストレス変化,ストレス開始,ストレス終了,平均ストレス,最大ストレス,移動時間,経過時間,最低高度,最高高度
ラン,2026-02-15 09:03:40,false,"京都マラソン","42.70","2,792","03:59:47","152","179","5.0","182","196","5:37","3:53","211","181","0.97","8.0","7.8","243","5:35","277","0.0","271","410","43,674","-40","いいえ","00:03:13.3","43","--","--","--","--","--","--","--","--","03:57:52","03:59:47","31","104"
ラン,2026-02-12 05:46:22,false,"美浜区 - 乳酸閾値","8.43","545","00:40:02","163","179","4.6","189","200","4:45","4:06","17","23","1.11","7.3","8.0","226","4:43","325","0.0","318","484","7,562","-18","いいえ","00:01:25.9","10","--","--","--","--","--","--","--","--","00:40:01","00:40:02","1","11"
ラン,2026-02-10 06:00:04,false,"美浜区 - 無酸素","10.25","653","00:55:27","145","171","3.7","185","205","5:25","3:02","20","26","0.99","8.0","7.8","240","5:24","296","0.0","281","466","10,158","-18","いいえ","00:01:00","22","--","--","--","--","--","--","--","--","00:55:20","00:55:27","2","10"
ラン,2026-02-07 06:19:10,false,"美浜区 - 長距離走","17.31","1,095","01:33:13","144","169","4.2","184","196","5:23","4:10","28","36","1.01","7.9","7.9","241","5:22","282","0.0","279","452","17,056","-25","いいえ","00:00:18.1","19","--","--","--","--","--","--","--","--","01:33:05","01:39:35","-6","9"
ラン,2026-02-05 06:02:16,false,"美浜区 - 無酸素","9.44","630","00:52:57","152","178","3.7","182","212","5:36","3:05","19","24","0.97","8.3","7.9","246","5:35","287","0.0","270","479","9,538","-16","いいえ","00:00:40","21","--","--","--","--","--","--","--","--","00:52:47","00:52:57","0","11"
ラン,2026-02-04 11:56:55,false,"美浜区 ラン","8.13","536","00:45:48","147","159","3.4","175","181","5:38","3:25","24","18","1.02","8.4","8.6","254","5:35","278","0.0","276","467","7,992","-10","いいえ","00:00:47.0","9","--","--","--","--","--","--","--","--","00:45:42","00:45:48","4","16"
ラン,2026-02-03 06:56:33,false,"美浜区 - ベース","8.87","584","00:49:19","146","170","3.6","183","190","5:34","4:29","21","21","0.98","8.1","7.9","244","5:31","274","0.0","272","405","8,982","-14","いいえ","00:00:19.4","10","--","--","--","--","--","--","--","--","00:49:10","00:49:19","-4","7"
ラン,2026-02-02 06:05:41,false,"美浜区 ラン","17.77","1,123","01:41:16","139","149","3.8","185","194","5:42","4:33","25","26","0.94","8.1","7.7","245","5:42","264","0.0","263","359","18,696","-27","いいえ","00:04:33.5","18","--","--","--","--","--","--","--","--","01:41:12","01:41:16","1","10"
ラン,2026-02-01 07:57:49,false,"美浜区 ラン","4.90","317","00:32:28","125","139","2.3","181","194","6:37","3:55","14","16","0.83","8.8","7.4","256","6:33","233","0.0","230","421","5,900","-9","いいえ","00:05:59.7","5","--","--","--","--","--","--","--","--","00:32:19","00:33:12","3","10"
ラン,2026-01-31 07:26:27,false,"美浜区 - スプリント","8.86","587","00:50:59","149","181","3.6","179","233","5:45","2:25","23","31","0.95","8.4","7.8","250","5:45","265","0.0","258","590","9,052","-15","いいえ","00:00:10","21","--","--","--","--","--","--","--","--","00:50:46","00:52:05","2","11"
ラン,2026-01-30 12:18:41,false,"美浜区 - ベース","6.01","386","00:33:28","142","157","3.1","173","181","5:34","3:45","17","18","1.04","8.4","8.7","253","5:31","285","0.0","281","439","5,830","-5","いいえ","00:01:27.7","7","--","--","--","--","--","--","--","--","00:33:11","00:33:45","2","10"
ラン,2026-01-29 06:29:07,false,"美浜区 - ベース","5.99","387","00:33:55","141","152","3.1","182","196","5:40","5:00","11","19","0.97","8.1","7.9","246","5:38","271","0.0","268","405","6,174","-10","いいえ","00:05:24.1","6","--","--","--","--","--","--","--","--","00:33:44","00:35:31","2","11"
ラン,2026-01-28 06:04:03,false,"美浜区 - ベース","8.18","526","00:46:35","140","152","3.3","189","221","5:42","4:11","18","22","0.92","7.9","7.3","240","5:40","265","0.0","263","420","8,834","-13","いいえ","00:01:35.0","9","--","--","--","--","--","--","--","--","00:46:29","00:47:30","0","10"
ラン,2026-01-27 05:47:42,false,"美浜区 - ベース","10.90","714","01:02:17","144","156","3.7","177","188","5:43","4:25","25","25","0.99","8.4","8.3","253","5:41","272","0.0","270","394","10,988","-18","いいえ","00:01:30.0","12","--","--","--","--","--","--","--","--","01:02:01","01:02:18","-1","8"
ラン,2026-01-24 07:07:00,false,"美浜区 - 長距離走","15.48","998","01:26:37","147","169","4.0","186","200","5:36","4:54","22","29","0.96","8.0","7.7","242","5:35","271","0.0","269","409","16,062","-23","いいえ","00:00:36.9","17","--","--","--","--","--","--","--","--","01:26:27","01:26:56","-2","11"
ラン,2026-01-23 06:48:04,false,"美浜区 - ベース","6.23","401","00:34:55","140","152","3.2","188","196","5:36","3:40","14","19","0.95","7.9","7.5","240","5:34","271","0.0","269","424","6,552","-10","いいえ","00:02:54.5","7","--","--","--","--","--","--","--","--","00:34:43","00:35:24","-2","8"
ラン,2026-01-22 06:42:19,false,"美浜区 ラン","10.84","700","01:00:59","144","164","3.7","187","200","5:37","4:03","24","33","0.95","8.0","7.5","241","5:36","277","0.0","274","429","11,410","-18","いいえ","00:04:44.4","11","--","--","--","--","--","--","--","--","01:00:48","01:01:45","-3","10"
ラン,2026-01-21 06:40:26,false,"美浜区 - リカバリー","2.23","148","00:14:54","128","140","2.0","181","192","6:40","5:40","2","6","0.82","8.9","7.3","257","6:44","234","0.0","229","280","2,700","-3","いいえ","00:01:32.3","3","--","--","--","--","--","--","--","--","00:14:52","00:14:54","2","6"
ラン,2026-01-20 06:43:37,false,"美浜区 - 乳酸閾値","7.66","510","00:38:21","164","184","4.5","182","196","5:01","4:00","18","17","1.09","7.7","8.3","236","5:01","318","0.0","309","427","6,956","-14","いいえ","00:01:50.8","9","--","--","--","--","--","--","--","--","00:38:18","00:39:08","1","8"
ラン,2026-01-18 07:22:21,false,"美浜区 - ベース","6.49","418","00:35:05","148","177","3.4","178","198","5:24","3:45","18","23","1.03","8.1","8.3","245","5:24","292","0.0","283","505","6,258","-9","いいえ","00:00:04.8","9","--","--","--","--","--","--","--","--","00:34:56","00:35:44","2","13"
ラン,2026-01-17 06:17:07,false,"美浜区 - 長距離走","11.28","721","01:02:03","145","163","3.8","186","198","5:30","3:54","20","24","0.97","7.9","7.7","241","5:29","280","0.0","275","502","11,490","-17","いいえ","00:00:02.8","14","--","--","--","--","--","--","--","--","01:01:53","01:02:49","0","10"
ラン,2026-01-15 06:11:56,false,"美浜区 - 乳酸閾値","8.20","515","00:42:21","153","174","4.0","187","198","5:10","4:01","17","20","1.03","7.7","7.8","235","5:10","301","0.0","292","407","7,816","-15","いいえ","00:00:20.7","13","--","--","--","--","--","--","--","--","00:42:12","00:42:49","--","9"
ラン,2026-01-14 06:57:57,false,"美浜区 - ベース","5.31","344","00:30:03","143","164","3.2","188","207","5:40","1:00","17","22","0.93","8.0","7.4","241","5:37","285","0.0","270","495","5,622","-9","いいえ","00:00:02.8","8","--","--","--","--","--","--","--","--","00:29:59","00:30:03","2","13"
ラン,2026-01-11 09:00:53,false,"指宿市 ラン","42.77","2,881","04:28:15","151","169","5.0","171","203","6:16","3:16","478","485","0.92","8.3","7.6","248","6:11","263","0.0","245","504","46,204","-42","いいえ","00:05:20.7","43","--","--","--","--","--","--","--","--","04:17:20","04:28:17","1","117"
ラン,2026-01-10 07:30:30,false,"美浜区 ラン","4.21","271","00:24:04","141","162","3.0","180","194","5:42","4:01","14","16","0.97","8.1","7.8","244","5:34","280","0.0","268","450","4,372","-7","いいえ","00:01:09.5","6","--","--","--","--","--","--","--","--","00:23:44","00:24:33","3","14"
ラン,2026-01-09 06:13:02,false,"美浜区 ラン","6.01","389","00:36:48","135","147","3.0","185","196","6:07","4:35","16","20","0.88","8.4","7.4","249","6:04","256","0.0","254","379","6,806","-12","いいえ","00:00:03.7","7","--","--","--","--","--","--","--","--","00:36:38","00:36:56","-1","9"
ラン,2026-01-06 06:12:16,false,"美浜区 - テンポ","8.64","564","00:46:25","155","172","4.3","183","231","5:22","4:01","18","21","1.01","7.9","7.9","241","5:22","290","0.0","284","450","8,438","-13","いいえ","00:00:04.7","16","--","--","--","--","--","--","--","--","00:46:12","00:46:34","-1","7"
ラン,2026-01-05 06:29:21,false,"美浜区 - リカバリー","3.18","205","00:22:04","127","138","2.2","180","188","6:56","6:07","3","4","0.80","9.2","7.3","262","6:56","221","0.0","220","281","3,954","-5","いいえ","00:00:03.5","5","--","--","--","--","--","--","--","--","00:22:01","00:22:04","2","5"
ラン,2026-01-04 07:39:42,false,"美浜区 - ベース","10.02","654","00:55:51","149","177","4.4","184","205","5:34","3:49","31","32","0.97","8.0","7.8","243","5:32","280","0.0","273","505","10,232","-19","いいえ","00:00:01.9","14","--","--","--","--","--","--","--","--","00:55:43","00:56:11","-1","12"
ラン,2026-01-03 06:53:36,false,"美浜区 - ベース","4.83","309","00:26:43","144","178","3.4","185","200","5:32","4:01","15","21","0.96","7.9","7.6","240","5:32","290","0.0","273","482","4,972","-8","いいえ","00:01:43.1","6","--","--","--","--","--","--","--","--","00:26:37","00:27:02","0","10"
ラン,2026-01-02 08:05:05,false,"美浜区 - ベース","5.51","357","00:30:57","145","181","3.5","177","198","5:37","3:53","14","15","0.99","8.3","8.1","248","5:38","279","0.0","270","443","5,520","-11","いいえ","00:00:56.6","7","--","--","--","--","--","--","--","--","00:30:51","00:31:51","2","13"
ラン,2025-12-31 09:04:17,false,"美浜区 ラン","9.56","620","00:54:44","144","166","4.0","183","214","5:43","4:10","22","24","0.95","8.2","7.8","246","5:42","277","0.0","268","414","9,960","-18","いいえ","00:03:10.3","10","--","--","--","--","--","--","--","--","00:54:32","01:05:31","-1","11"
ラン,2025-12-30 07:41:02,false,"美浜区 ラン","10.16","652","01:01:52","137","145","3.6","186","214","6:05","4:53","20","25","0.88","8.4","7.4","248","6:05","248","0.0","247","357","11,452","-21","いいえ","00:00:58.5","11","--","--","--","--","--","--","--","--","01:01:42","01:02:12","1","9"
ラン,2025-12-29 07:24:57,false,"美浜区 ラン","6.01","395","00:34:59","144","165","3.5","184","192","5:49","4:53","13","22","0.93","8.1","7.6","245","5:47","263","0.0","260","396","6,450","-11","いいえ","00:00:02.7","7","--","--","--","--","--","--","--","--","00:34:44","00:35:36","-1","9"
ラン,2025-12-28 07:22:12,false,"美浜区 - ベース","8.09","539","00:47:23","147","162","3.9","184","194","5:51","4:25","19","26","0.92","8.2","7.6","247","5:49","262","0.0","259","389","8,692","-16","いいえ","00:02:05.4","9","--","--","--","--","--","--","--","--","00:47:10","00:47:46","-1","9"
ラン,2025-12-27 06:59:41,false,"美浜区 ラン","5.95","388","00:34:18","143","162","3.5","185","192","5:46","4:49","14","22","0.94","8.1","7.6","244","5:44","261","0.0","260","389","6,356","-8","いいえ","00:05:34.8","6","--","--","--","--","--","--","--","--","00:34:16","00:36:48","-1","10"
ラン,2025-12-26 06:19:47,false,"美浜区 ラン","4.05","259","00:22:32","143","162","3.2","185","194","5:33","5:01","13","19","0.97","8.0","7.7","242","5:34","277","0.0","274","387","4,168","-8","いいえ","00:00:17.0","5","--","--","--","--","--","--","--","--","00:22:29","00:25:56","0","9"
ラン,2025-12-19 06:23:00,false,"美浜区 ラン","5.06","344","00:30:48","145","155","3.3","180","190","6:05","5:14","12","15","0.91","8.4","7.7","250","6:02","254","0.0","251","369","5,566","-8","いいえ","00:00:23.3","6","--","--","--","--","--","--","--","--","00:30:34","00:30:48","2","10"
ラン,2025-12-16 06:41:57,false,"美浜区 ラン","2.77","183","00:16:18","142","156","2.8","184","190","5:53","5:33","7","9","0.92","8.3","7.6","248","5:52","259","0.0","257","311","2,984","-5","いいえ","00:04:31.1","3","--","--","--","--","--","--","--","--","00:16:17","00:16:18","1","5"
ラン,2025-11-28 06:31:49,false,"美浜区 ラン","3.85","260","00:24:26","139","154","2.8","172","194","6:21","4:59","15","21","0.91","8.3","7.5","248","6:17","260","0.0","244","403","4,276","-8","いいえ","00:05:50.3","4","--","--","--","--","--","--","--","--","00:24:03","00:32:09","0","10"
ラン,2025-11-21 06:47:39,false,"美浜区 ラン","5.86","378","00:35:38","134","147","3.1","183","192","6:05","4:17","15","15","0.89","8.4","7.5","250","6:05","250","0.0","249","381","6,502","-9","いいえ","00:05:05.5","6","--","--","--","--","--","--","--","--","00:35:31","00:38:10","3","14"
ラン,2025-11-20 06:32:36,false,"美浜区 - ベース","4.13","264","00:24:50","133","148","2.9","182","200","6:00","4:55","17","19","0.90","8.3","7.5","248","6:00","254","0.0","252","340","4,540","-7","いいえ","00:00:46.7","5","--","--","--","--","--","--","--","--","00:24:42","00:26:30","3","13"
ラン,2025-11-19 06:29:43,false,"美浜区 ラン","5.08","323","00:27:01","151","164","3.6","184","196","5:19","4:43","16","17","1.01","7.6","7.7","234","5:18","288","0.0","281","379","4,990","-9","いいえ","00:00:23.9","6","--","--","--","--","--","--","--","--","00:26:34","00:27:01","5","13"
ラン,2025-11-17 06:31:26,false,"美浜区 ラン","5.13","340","00:35:31","126","146","2.4","175","221","6:55","4:38","12","18","0.82","8.8","7.2","254","6:51","228","0.0","219","369","6,266","-14","いいえ","00:00:50.6","6","--","--","--","--","--","--","--","--","00:34:29","01:02:52","2","13"
ラン,2025-11-16 07:06:56,false,"美浜区 ラン","3.36","208","00:26:26","111","137","2.2","150","194","7:51","3:58","7","13","0.83","8.1","6.7","251","7:53","209","0.0","177","391","4,044","-8","いいえ","00:03:48.1","4","--","--","--","--","--","--","--","--","00:25:57","00:39:23","--","9"
ラン,2025-11-08 06:37:04,false,"美浜区 ラン","1.40","92","00:13:29","104","128","1.4","119","192","9:37","6:23","115","3","0.79","8.7","6.8","256","10:25","621","0.0","199","2,024","1,730","-3","いいえ","00:06:40.1","2","--","--","--","--","--","--","--","--","00:10:13","00:13:32","5","121"
ブレスワーク,2025-10-26 19:40:34,false,"リラックスと集中(短)","--","--","00:05:34","81","147","0.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","いいえ","00:00:04","77","9","5","25","9","69","78","78","96","00:00:00","00:05:34","--","--"
ラン,2025-10-26 09:00:36,false,"水戸市 ラン","42.95","2,539","04:29:03","145","167","5.0","167","196","6:16","4:04","145","137","0.92","8.0","7.3","243","6:16","263","0.0","234","442","45,586","-49","いいえ","00:05:00.1","43","--","--","--","--","--","--","--","--","04:24:56","04:29:03","14","61"
